time,open,high,low,close,volume
2017-07-11 04:00:00,1.4057,1.5,1.3742,1.4795,122470.64078287
2017-07-11 05:00:00,1.4782,1.55,1.408,1.4201,204248.13763743
2017-07-11 06:00:00,1.42,1.4502,1.3561,1.38,258087.11597167
2017-07-11 07:00:00,1.3964,1.56,1.3801,1.55,367318.25942194
2017-07-11 08:00:00,1.5499,1.621,1.42,1.43,290592.24393618
2017-07-11 09:00:00,1.4301,1.63,1.4251,1.61,324602.34299447003
2017-07-11 10:00:00,1.618,1.649,1.5486,1.602,238884.27633397002
2017-07-11 11:00:00,1.602,1.6798,1.5915,1.6553,185035.45070509
2017-07-11 12:00:00,1.66,1.78,1.6012,1.765,218038.55087215
2017-07-11 13:00:00,1.765,1.7651,1.4863,1.589,314853.29089655
2017-07-11 14:00:00,1.589,1.591,1.4581,1.591,311355.54167699
2017-07-11 15:00:00,1.5796,1.595,1.5411,1.586,83387.26322086
2017-07-11 16:00:00,1.5861,1.645,1.5858,1.61,205148.78112485
2017-07-11 17:00:00,1.5994,1.6339,1.56,1.6112,118725.31280282
2017-07-11 18:00:00,1.6002,1.631,1.5301,1.5616,88087.95267313
2017-07-11 19:00:00,1.5616,1.5768,1.4622,1.49,123709.89997746999
2017-07-11 20:00:00,1.49,1.5541,1.4701,1.545,108179.65216254
2017-07-11 21:00:00,1.545,1.5884,1.5119999999999998,1.5712,48201.06345645
2017-07-11 22:00:00,1.5638,1.5985,1.5171,1.5712,41959.47663481
2017-07-11 23:00:00,1.57,1.5985,1.5,1.5,82494.45162769
2017-07-12 00:00:00,1.5,1.5339,1.401,1.499,211803.91827223
2017-07-12 01:00:00,1.4961,1.52,1.398,1.43,124264.52999464
2017-07-12 02:00:00,1.4302,1.4697,1.401,1.457,111232.82247493
2017-07-12 03:00:00,1.4576,1.5419999999999998,1.4439,1.5121,129174.04621623
2017-07-12 04:00:00,1.52,1.5998,1.5181,1.5998,88027.64831511
2017-07-12 05:00:00,1.5901,1.6,1.536,1.545,76372.2967501
2017-07-12 06:00:00,1.5523,1.6199,1.5318,1.607,79699.11206559
2017-07-12 07:00:00,1.6064,1.6199,1.5761,1.6069,93516.08968325
2017-07-12 08:00:00,1.6069,1.645,1.5346,1.645,124987.91608652
2017-07-12 09:00:00,1.644,1.6980000000000002,1.6181,1.6598,187105.86570191
2017-07-12 10:00:00,1.656,1.66,1.6,1.6566,54973.70901976
2017-07-12 11:00:00,1.6252,1.6946,1.5999,1.6798,88606.24588251
2017-07-12 12:00:00,1.6764,1.72,1.6319,1.6415,61917.13643557
2017-07-12 13:00:00,1.6415,1.6788,1.6415,1.6599,57480.135909000004
2017-07-12 14:00:00,1.6599,1.6669999999999998,1.6231,1.665,42685.8948115
2017-07-12 15:00:00,1.6547,1.6829,1.631,1.664,70954.86928631
2017-07-12 16:00:00,1.6648,1.9534,1.66,1.8927,268978.90428393
2017-07-12 17:00:00,1.89,2.0469,1.81,1.9904,299436.48340217
2017-07-12 18:00:00,1.9904,2.0499,1.911,1.9496,184956.44922161
2017-07-12 19:00:00,1.9496,1.9968,1.9111,1.9468,128084.81609931
2017-07-12 20:00:00,1.9464,1.96,1.88,1.8829,57698.27986566
2017-07-12 21:00:00,1.8805,1.905,1.8,1.8804,113975.34895345
2017-07-12 22:00:00,1.885,1.9844,1.8101,1.9661,165500.27523569
2017-07-12 23:00:00,1.9668,1.985,1.9162,1.985,74727.09301491
2017-07-13 00:00:00,1.978,1.988,1.9002,1.9484,122126.49717805
2017-07-13 01:00:00,1.94,1.948,1.87,1.8903,95386.69128639
2017-07-13 02:00:00,1.9019,1.9319,1.8811,1.9137,25384.6016458
2017-07-13 03:00:00,1.9136,1.9782,1.9008,1.94,48579.15757617
2017-07-13 04:00:00,1.94,1.941,1.865,1.865,33668.65417176
2017-07-13 05:00:00,1.865,1.865,1.77,1.7996,104545.14521102
2017-07-13 06:00:00,1.8001,1.8294,1.7201,1.7478,63183.951016700004
2017-07-13 07:00:00,1.7478,1.8195,1.7201,1.722,54070.206009140005
2017-07-13 08:00:00,1.7294,1.8195,1.7001,1.7608,68588.2085118
2017-07-13 09:00:00,1.7608,1.7799,1.7181,1.7421,28571.43508802
2017-07-13 10:00:00,1.7236,1.7692,1.7158,1.7451,44383.29421737
2017-07-13 11:00:00,1.7443,1.8193,1.7443,1.8056,41266.28669626
2017-07-13 12:00:00,1.803,1.86,1.7903,1.801,64486.89206845
2017-07-13 13:00:00,1.8001,1.8001,1.72,1.783,62733.14013824
2017-07-13 14:00:00,1.783,1.7990000000000002,1.7229,1.7403,55941.55077787
2017-07-13 15:00:00,1.7413,1.761,1.68,1.69,116088.9458991
2017-07-13 16:00:00,1.6932,1.7399,1.663,1.7116,87362.63343149
2017-07-13 17:00:00,1.7016,1.7297,1.6048,1.63,88610.25820272
2017-07-13 18:00:00,1.63,1.6899,1.6126,1.6501,81023.28420266
