Index,time,price,Pred_1h,Pred_4h,Pred_12h,Pred_24h,Pred_48h,Position_1h,Position_4h,Position_12h,Position_24h,Position_48h,Return_1h,Return_4h,Return_12h,Return_24h,Return_48h,Total_Return 1h,Total_Return_4h,Total_Return_12h,Total_Return_24h,Total_Return_48h,Unnamed: 23
43,20/05/2022 17:56:15,29200.25,-0.0351966548,0.0673642676,-0.0118179319,0.027674096,0.0217795951,-0.0085540741,0.0085540741,-0.0085540741,0.0085540741,0.0085540741,,,,,,,,,,,
44,20/05/2022 18:56:19,29178.71,0.0017305086,0.032939257,0.0167290278,0.0401741034,0.0570922158,0.008570737,0.008570737,0.008570737,0.008570737,0.008570737,,,,,,,,,,,
45,20/05/2022 19:56:53,29222.18,-0.0418880352,0.025158858,0.0282369259,0.0301908834,0.0402339682,-0.0085633888,0.0085633888,0.0085633888,0.0085633888,0.0085633888,,,,,,,,,,,
46,20/05/2022 21:05:32,29276.11,-0.0130347732,0.0173639602,0.0342257535,0.0509321564,0.0170177812,-0.0085619458,0.0085619458,0.0085619458,0.0085619458,0.0085619458,,,,,,,,,,,
47,20/05/2022 22:03:55,29136.55,0.0061295274,0.0669989693,0.0359013055,0.0361809045,0.0378783725,0.0085910535,0.0085910535,0.0085910535,0.0085910535,0.0085910535,,,,,,,,,,,
48,20/05/2022 23:19:39,29174.11,0.0046080835,0.0733761325,0.0256174218,0.0102910587,0.0078682434,0.0085703903,0.0085703903,0.0085703903,0.0085703903,0.0085703903,,,,,,,,,,,
49,20/05/2022 23:57:04,29259.97,0.0034800196,0.0743319243,0.0278577179,0.0096274031,0.0068659378,0.0085440846,0.0085440846,0.0085440846,0.0085440846,0.0085440846,,,,,,,,,,,
50,21/05/2022 04:55:45,29227.26,0.0317579787,0.0671083508,0.0304285579,0.0138664351,0.0804683959,0.0085419214,0.0085419214,0.0085419214,0.0085419214,0.0085419214,,,,,,,,,,,
51,21/05/2022 02:04:56,29283.57,0.0022457023,0.0382382571,0.0193067794,0.0223687971,0.0473077154,0.0085441196,0.0085441196,0.0085441196,0.0085441196,0.0085441196,,,,,,,,,,,
52,21/05/2022 03:10:37,29348.22,-0.0195583393,0.0223953296,0.0199829049,0.0289581709,0.0258861975,-0.008526603,0.008526603,0.008526603,0.008526603,0.008526603,,,,,,,,,,,
53,21/05/2022 05:10:37,29339.67,-0.0234856636,-0.0346498441,0.0279916797,0.0158017143,-0.003241974,-0.0085161234,-0.0085161234,0.0085161234,0.0085161234,-0.0085161234,,,,,,,,,,,
54,21/05/2022 06:10:37,29381.92,0.0304414636,0.0617140707,0.0362418099,-0.0154425838,-0.035543569,0.0085097634,0.0085097634,0.0085097634,-0.0085097634,-0.0085097634,,,,,,,,,,,
55,21/05/2022 07:10:37,29271.7,0.0151280507,0.0182337566,-0.0111655244,0.0256335132,0.0243088875,0.0085414807,0.0085414807,-0.0085414807,0.0085414807,0.0085414807,,,,,,,,,,,
56,21/05/2022 08:10:38,29325.0,0.0289796868,0.0520021715,-0.013499584,-2.682548336094964e-05,0.0085593839,0.0085253091,0.0085253091,-0.0085253091,-0.0085253091,0.0085253091,,,,,,,,,,,
57,21/05/2022 12:55:44,29251.52,0.026943735,0.056392779,-0.0127297027,0.002062165,0.0091210538,0.0085324232,0.0085324232,-0.0085324232,0.0085324232,0.0085324232,,,,,,,,,,,
58,21/05/2022 14:01:25,29316.61,0.0643218777,0.0565299283,0.0499814107,0.0022817472,-0.0397078282,0.0085220891,0.0085220891,0.0085220891,0.0085220891,-0.0085220891,,,,,,,,,,,
59,21/05/2022 14:53:41,29396.7,0.0628294606,0.0620797629,0.0432817531,0.0018470476,-0.0420503475,0.008505302,0.008505302,0.008505302,0.008505302,-0.008505302,,,,,,,,,,,
60,21/05/2022 15:55:25,29629.98,0.001903468,-0.0242535825,0.0477018535,0.0156680618,-0.0069456044,0.0084610672,-0.0084610672,0.0084610672,0.0084610672,-0.0084610672,,,,,,,,,,,"Methodology change, predict around 53, wait for preds to end (2-3 mins), wait 40 seconds, evaluate price. Should be more consistent"
61,21/05/2022 16:55:04,29573.9,-0.0021592897,-0.0261241324,0.0123475515,0.0252060472,-0.0048552897,-0.0084567168,-0.0084567168,0.0084567168,0.0084567168,-0.0084567168,,,,,,,,,,,
62,21/05/2022 18:00:46,29408.75,-0.0310902933,0.048565064,0.0161198311,-0.0183736013,-0.0188120318,-0.0085007181,0.0085007181,0.0085007181,-0.0085007181,-0.0085007181,,,,,,,,,,,
63,21/05/2022 19:00:48,29478.07,-0.0215247819,-0.0369020924,-0.0118651703,-0.0126790007,-0.0559061482,-0.0084761796,-0.0084761796,-0.0084761796,-0.0084761796,-0.0084761796,,,,,,,,,,,
64,21/05/2022 20:02:37,29468.15,0.0115684388,-0.0227331787,-0.0093350629,0.004505139,-0.029709942,0.0084827801,-0.0084827801,-0.0084827801,0.0084827801,-0.0084827801,,,,,,,,,,,
65,21/05/2022 21:08:06,29420.53,-0.0166865175,0.0286709767,-0.0081768338,-0.0162623635,0.0178090859,-0.0084946265,0.0084946265,-0.0084946265,-0.0084946265,0.0084946265,,,,,,,,,,,
66,21/05/2022 22:08:36,29350.76,-0.0175317372,-0.0071312618,-0.0068957871,0.0089072015,0.0362928657,-0.008522551,-0.008522551,-0.008522551,0.008522551,0.008522551,,,,,,,,,,,
67,21/05/2022 23:05:33,29414.26,0.004957458,0.0211501815,-0.0104909268,-0.0006846028,0.0156070117,0.0084954261,0.0084954261,-0.0084954261,-0.0084954261,0.0084954261,,,,,,,,,,,
68,22/05/2022 00:03:51,29437.5,0.03828723,0.0069308386,-0.0192046924,-0.0295831868,0.0135499822,0.0084891978,0.0084891978,-0.0084891978,-0.0084891978,0.0084891978,,,,,,,,,,,
69,22/05/2022 01:02:44,29481.06,0.058747512,0.0236824838,-0.0316532695,-0.0297341763,0.0037643665,0.0084770073,0.0084770073,-0.0084770073,-0.0084770073,0.0084770073,,,,,,,,,,,
70,22/05/2022 02:02:22,29508.75,0.0419546364,-0.0058567154,-0.0286916459,-0.0052116059,-0.0012657279,0.0084801674,-0.0084801674,-0.0084801674,-0.0084801674,-0.0084801674,,,,,,,,,,,
71,22/05/2022 03:02:40,29387.77,-0.0350059996,-0.0239848167,-0.0197347459,-0.0063675427,-0.0335925928,-0.0085031931,-0.0085031931,-0.0085031931,-0.0085031931,-0.0085031931,,,,,,,,,,,
72,22/05/2022 04:02:33,29357.56,0.0014455404,-0.0480106211,0.0154221214,-0.0126112222,-0.0367701053,0.0085169183,-0.0085169183,0.0085169183,-0.0085169183,-0.0085169183,,,,,,,,,,,
73,22/05/2022 05:03:07,29286.09,-0.0238795356,-0.0505205076,-0.0238248978,0.0035058526,-0.0256469291,-0.0085257248,-0.0085257248,-0.0085257248,0.0085257248,-0.0085257248,,,,,,,,,,,
74,22/05/2022 06:01:27,29372.7,0.0137949508,-0.0360253707,0.0070004634,0.0094407269,-0.0099953925,0.0085081561,-0.0085081561,0.0085081561,0.0085081561,-0.0085081561,,,,,,,,,,,
75,22/05/2022 07:01:33,29404.74,0.0101346833,-0.018957246,0.0010576154,0.0174569286,0.0057778797,0.0085017733,-0.0085017733,0.0085017733,0.0085017733,0.0085017733,,,,,,,,,,,
76,22/05/2022 08:02:50,29441.78,-0.0059538061,-0.0142518925,0.0038217913,-0.00999812,-0.0112483458,-0.0084921363,-0.0084921363,0.0084921363,-0.0084921363,-0.0084921363,,,,,,,,,,,
77,22/05/2022 09:02:41,29562.86,0.0177700027,0.01009548,0.002957622,-0.0135448887,0.0135045647,0.0084622386,0.0084622386,0.0084622386,-0.0084622386,0.0084622386,,,,,,,,,,,
78,22/05/2022 10:04:02,30195.5,-0.0040635706,0.0308674431,-0.0054637377,-0.003665301,0.0081481065,-0.00828899,0.00828899,-0.00828899,-0.00828899,0.00828899,,,,,,,,,,,
79,22/05/2022 11:03:04,30188.35,-0.0053444664,-0.0246894947,-0.0164521378,-0.0121078287,-0.0413304807,-0.0082743948,-0.0082743948,-0.0082743948,-0.0082743948,-0.0082743948,,,,,,,,,,,
80,22/05/2022 12:06:08,29899.68,-0.0116284906,0.0117824391,-0.0224242241,-0.0006408337,-0.0168306172,-0.0083462701,0.0083462701,-0.0083462701,-0.0083462701,-0.0083462701,,,,,,,,,,,
81,22/05/2022 13:02:53,30172.66,-0.0091478228,-0.0873272234,0.0149927608,-0.1000366344,-0.1077926337,-0.0082906448,-0.0082906448,0.0082906448,-0.0082906448,-0.0082906448,,,,,,,,,,,
82,22/05/2022 14:13:54,30075.39,-0.0028270427,-0.0354438513,-0.0344997247,-0.0092982707,-0.0748855574,-0.008334439,-0.008334439,-0.008334439,-0.008334439,-0.008334439,,,,,,,,,,,
83,22/05/2022 11:10:20,29927.25,-0.0112780021,-0.006257894,-0.0031139918,-0.0107230132,-0.0837651876,-0.0083519247,-0.0083519247,-0.0083519247,-0.0083519247,-0.0083519247,,,,,,,,,,,
84,22/05/2022 11:53:10,29867.4,-0.0082799222,-0.0086675936,0.0009643235,-0.009681712,-0.0818467962,-0.0083712495,-0.0083712495,0.0083712495,-0.0083712495,-0.0083712495,,,,,,,,,,,
85,22/05/2022 12:53:51,29925.3,-0.0191600113,-0.0595694566,-0.0443747432,-0.0125574855,-0.0676980399,-0.0083541379,-0.0083541379,-0.0083541379,-0.0083541379,-0.0083541379,,,,,,,,,,,
86,22/05/2022 13:53:56,29915.6,-0.0010438476,0.0090333633,0.0021558709,-0.0113886516,-0.0747729313,-0.0083568411,0.0083568411,0.0083568411,-0.0083568411,-0.0083568411,,,,,,,,,,,
87,22/05/2022 14:53:54,30035.0,0.0350676013,-0.0146090774,0.0085841322,-0.0502327541,-0.0378974978,0.0083264446,-0.0083264446,0.0083264446,-0.0083264446,-0.0083264446,,,,,,,,,,,
88,22/05/2022 15:53:52,29918.16,0.0288299917,-0.0875411429,-0.0276410998,-0.0283836545,-0.038557821,0.0083556234,-0.0083556234,-0.0083556234,-0.0083556234,-0.0083556234,,,,,,,,,,,
89,22/05/2022 16:53:54,29991.97,-0.0044133463,0.0483509686,0.0562060549,-0.0305280761,-0.0515916948,-0.0083355673,0.0083355673,0.0083355673,-0.0083355673,-0.0083355673,,,,,,,,,,,
90,22/05/2022 17:53:56,30022.03,0.0065021593,-0.0386787028,-0.045151774,-0.0262039047,-0.0377942594,0.0083270575,-0.0083270575,-0.0083270575,-0.0083270575,-0.0083270575,,,,,,,,,,,
91,22/05/2022 19:54:06,30364.12,-0.0052082621,0.007447716,-0.0378209181,-0.0240568335,-0.0180407446,-0.008233193,0.008233193,-0.008233193,-0.008233193,-0.008233193,,,,,,,,,,,
92,22/05/2022 20:57:26,30293.32,-0.0142311627,-0.0144357114,-0.0107831581,-0.0149784506,-0.0593578249,-0.0082527126,-0.0082527126,-0.0082527126,-0.0082527126,-0.0082527126,,,,,,,,,,,
93,22/05/2022 21:57:26,30213.44,-0.0203075092,-0.035888926,-0.0180578306,-0.0063126749,-0.0236319609,-0.0082755781,-0.0082755781,-0.0082755781,-0.0082755781,-0.0082755781,,,,,,,,,,,
94,22/05/2022 22:57:28,30145.25,0.0406122178,-0.050959461,-0.0066565701,-0.0048653907,-0.0357988052,0.0082962821,-0.0082962821,-0.0082962821,-0.0082962821,-0.0082962821,,,,,,,,,,,
95,22/05/2022 23:57:22,30158.5,0.0450945719,-0.0218870213,0.0073054219,-0.0185806116,-0.0469587275,0.0082895369,-0.0082895369,0.0082895369,-0.0082895369,-0.0082895369,,,,,,,,,,,
96,23/05/2022 00:57:50,30115.01,-0.0070505335,-0.0379892589,0.0130333741,-0.0020319139,-0.0271765748,-0.0082976204,-0.0082976204,0.0082976204,-0.0082976204,-0.0082976204,,,,,,,,,,,
